Bloco,IdOper,CodStatusProjecao,HC,CustoTotal,ReceitaBruta,AlocRecursosCaixa,AlocRecursosPetr?olis,AlocRecursosAgendamento,Devengado,Custo Recursos,Desonera?o,Custo Outros,Custo subcontratados,Compet?cia,HEs,hes_pagas,EBITDA Devegado Mensal,EBITDA Devegado Consolidado,EBITDA Real Mensal,EBITDA Real Consolidado,BH Realizado,BH +,BH -
Real,1,0,70,627420.01,1013947.34,,,,911667.25,583938.26,43481.75,0.0,,2017-04-01,,,0.300776977,0.300776977,0.333661712,0.333661712,,,
Real,1,0,72,615624.44,1069753.06,,,,912422.05,572106.69,43517.75,0.0,,2017-05-01,,,0.314490009,0.307636331,0.380296258,0.357603469,,,
Real,1,0,74,607225.55,1066291.88,,,,932710.89,562740.13,44485.42,0.0,,2017-06-01,,,0.338550493,0.318095549,0.386766688,0.367475399,,,
Real,1,0,75,856334.52,1100237.48,253927.68,,,944149.13,811303.56,45030.96,0.0,,2017-07-01,,,0.078497406,0.25697167,0.161874953,0.314252555,,,
Real,1,0,84,887797.78,1274716.04,262033.43,,,1076826.93,835120.7,51359.0,1318.08,,2017-08-01,,,0.162351424,0.235645927,0.250015293,0.299431727,,,
Real,1,0,86,924910.58,1015754.06,269634.54,,,969199.05,878684.87,46225.71,0.0,,2017-09-01,,,0.030427084,0.201036781,0.019465263,0.255953647,,,
Real,1,0,86,871756.81,1018479.72,228346.54,,,976768.75,824909.46,46586.75,260.6,,2017-10-01,,,0.093229673,0.185375475,0.078289009,0.232016151,,,
Real,1,0,84,917473.21,863941.1,236249.2,,,792477.73,879318.18,37797.03,358.0,,2017-11-01,,,-0.176251074,0.147247144,-0.143565541,0.193493557,,,
Real,1,0,74,945388.31,809464.08,223233.34,,,724615.55,910590.79,34560.36,237.16,,2017-12-01,,,-0.325550525,0.105674119,-0.257663479,0.1539385,,,
Real,1,0,70,659180.4689,863335.94,34026.1,,,724741.79,624515.1489,34566.38,98.94,,2018-01-01,,,0.075909013,0.075909013,0.177802194,0.177802194,,,
Real,1,0,71,636220.8848,683737.66,33862.78,,,725895.88,601491.2448,34621.43,108.21,,2018-02-01,,,0.109513586,0.092724667,-0.002005772,0.098335077,,,
Real,1,0,71,844823.6418,899372.84,163976.01,,,823283.0,804794.4118,39266.28,762.95,,2018-03-01,,,-0.042582951,0.043735947,-0.011528431,0.057946596,,,
Real,1,0,70,841346.9286,1118451.15,128836.78,,,1020264.1,792225.5186,48661.25,460.16,,2018-04-01,23.16666667,,0.162169404,0.080416769,0.189953599,0.09936248,,,
Real,1,0,72,792960.7484,923416.4,123254.17,,,982897.16,745934.5084,46879.04,147.2,,2018-05-01,14.0,,0.18033325,0.103378131,0.075289242,0.094409702,,,
Real,1,0,74,779309.2724,999631.95,142643.42,23744.52,,1179324.68,722205.5324,56247.6,856.14,,2018-06-01,14.66666667,,0.328617272,0.152060367,0.160498419,0.106447793,,,
Real,1,0,75,694429.1265,1283275.87,110609.32,21148.28,,1083573.58,641950.3365,51680.77,798.02,,2018-07-01,26.33333333,,0.348876712,0.184669792,0.417280296,0.16535649,,,
Real,1,0,84,599816.02,1346935.6,0.0,21281.0,,1031875.85,543762.2,49215.06,690.8,6147.96,2018-08-01,109.16667,,0.409412405,0.21529722,0.520461995,0.224274323,,,
Real,1,0,86,604902.79,1198462.27,,,,990620.277,550697.34,47247.39,810.1,6147.96,2018-09-01,61.0,,0.379599581,0.234305886,0.456483134,0.254144974,,,
Real,1,0,86,574640.6,1186112.5,,,,949920.5175,522703.97,45306.22,482.45,6147.96,2018-10-01,136.3,,0.385385578,0.249392903,0.478298329,0.279459444,,,
Real,1,0,84,606306.55,1004700.5,,,,1138894.133,544422.23,54319.28,317.08,7247.96,2018-11-01,335.15,,0.459117896,0.271817844,0.350158496,0.285632096,,,
Real,1,0,74,595013.13,1121074.02,,,,1322184.736,525107.07,63061.28,696.82,6147.96,2018-12-01,332.9,,0.542776948,0.301738812,0.428463377,0.298311698,,,
Real,1,0,67,599397.72,1007968.75,,,,1195074.62,536187.19,56998.79,63.78,6147.96,2019-01-01,18563.41,,0.490418361,0.490418361,0.359646449,0.359646449,,,
Real,1,0,65,619443.29,974594.65,,,,1156806.263,557195.42,55173.59,926.32,6147.96,2019-02-01,12764.54,,0.455955243,0.473467183,0.315569533,0.337978983,,,
Real,1,0,68,609757.1692,966519.95,,,,1099538.53,551101.17,52442.21924,65.82,6147.96,2019-03-01,8959.91,,0.436569736,0.461712551,0.320643248,0.332297443,,,
Real,1,0,68,635188.56,1055396.65,,,,1059538.52,578348.78,50534.43,157.39,6147.96,2019-04-01,17614.75,,0.390912586,0.445082981,0.351904867,0.337465058,,,
Real,1,0,70,592422.98,1098322.25,,,,1018713.27,536482.28,48587.28,1205.46,6147.96,2019-05-01,8041.03,,0.409154896,0.438464068,0.419163475,0.355049747,,,
Real,1,0,66,578407.52,853912.6,,,,977137.23,525450.86,46604.32,204.38,6147.96,2019-06-01,15143.08,,0.398588016,0.432475821,0.270588994,0.342942049,,,
Real,1,0,66,579148.05,1093615.85,,,,946546.47,530937.46,45145.3,217.33,2847.96,2019-07-01,17245.77,,0.378356544,0.425602888,0.429735147,0.356405007,,,
Real,1,0,67,590578.81,989774.0,,,,927427.25,537415.51,44233.41,3233.97,5695.92,2019-08-01,11322.9,,0.353018718,0.417570638,0.357469685,0.356536074,,,
Real,1,0,68,544782.3258,876132.95,,,,948387.08,497064.2158,45233.09,2485.02,,2019-09-01,24264.07583,,0.416378761,0.417449474,0.330416414,0.353969488,,,
Real,1,0,68,509125.32,960751.55,,,,905631.34,460139.9,43193.86,2491.56,3300.0,2019-10-01,15268.3,,0.428827932,0.418456302,0.429355802,0.361302443,,,
Real,1,0,62,506011.09,727953.05,,,,892868.07,460670.75,42585.12,2755.22,,2019-11-01,14747.78,,0.424206907,0.418917722,0.251471279,0.353763323,,,
